"DeviceID","FileSystem","Size","FreeSpace"
"C:","NTFS","126865915904","34938503168"
"D:","NTFS","214748360704","214644187136"
"E:","NTFS","785347768320","602977988608"
"DeviceID","FileSystem","Size","FreeSpace"
"C:","NTFS","126865915904","34926792704"
"D:","NTFS","214748360704","214644187136"
"E:","NTFS","785347768320","602977988608"
"DeviceID","FileSystem","Size","FreeSpace"
"C:","NTFS","126865915904","30364930048"
"D:","NTFS","214748360704","214644187136"
"E:","NTFS","785347768320","740326195200"
"DeviceID","FileSystem","Size","FreeSpace"
"C:","NTFS","126865915904","30397558784"
"D:","NTFS","214748360704","214644187136"
"E:","NTFS","785347768320","740326195200"
"DeviceID","FileSystem","Size","FreeSpace"
"C:","NTFS","126865915904","30398615552"
"D:","NTFS","214748360704","214644187136"
"E:","NTFS","785347768320","740326195200"
